k,omega_B2_caseA_mV0,omega_B2_caseA_mV1,omega_B2_caseA_mV5,omega_B2_caseA_mV20,omega_B2_caseB_mV0,omega_B2_caseB_mV1,omega_B2_caseB_mV5,omega_B2_caseB_mV20
2.959892386156215936e-04,2.959892373902314158e-04,2.959892372141291190e-04,2.959892362243018668e-04,2.959892426414750832e-04,2.959892373902314158e-04,3.293464184731885566e-04,5.752996689974866759e-04,7.104916075197250085e-04
3.037363549655692336e-04,3.037363535266890228e-04,3.037363537833897165e-04,3.037363551167000233e-04,3.037363450881893408e-04,3.037363535266890228e-04,3.379666143411529642e-04,5.903573571672554197e-04,7.290877647324735342e-04
3.116862415649364944e-04,3.116862392723685577e-04,3.116862386522854171e-04,3.116862372274898057e-04,3.116862335542177785e-04,3.116862392723685577e-04,3.468124307305579367e-04,6.058091592519032360e-04,7.481706508018619870e-04
3.198442056496280327e-04,3.198442030720069192e-04,3.198442037440419922e-04,3.198442045383539825e-04,3.198441997489761038e-04,3.198442030720069192e-04,3.558897748795987123e-04,6.216653906928496865e-04,7.677530028158320195e-04
3.282156933652407389e-04,3.282156888814912127e-04,3.282156915875726112e-04,3.282156990292969313e-04,3.282156847893350740e-04,3.282156888814912127e-04,3.652047066612267631e-04,6.379366390638751411e-04,7.878479030938898659e-04
3.368062934028363017e-04,3.368062913487202556e-04,3.368062904836090503e-04,3.368062940225484826e-04,3.368062828478787319e-04,3.368062913487202556e-04,3.747634441607022664e-04,6.546337634851920112e-04,8.084687465256118477e-04
3.456217407298751727e-04,3.456217383648446922e-04,3.456217377313676974e-04,3.456217420453767540e-04,3.456217368143547040e-04,3.456217383648446922e-04,3.845723680900906515e-04,6.717679130611943408e-04,8.296293201046149287e-04
3.546679204188027770e-04,3.546679182133321618e-04,3.546679170898354668e-04,3.546679245476606771e-04,3.546679045136288976e-04,3.546679182133321618e-04,3.946380277091812478e-04,6.893505253162874637e-04,8.513437356952602026e-04
3.639508715758432733e-04,3.639508682942411782e-04,3.639508682215133843e-04,3.639508691628950141e-04,3.639508713650357733e-04,3.639508682942411782e-04,4.049671388974678010e-04,7.073933388099065168e-04,8.736265209290995128e-04
3.734767913726249559e-04,3.734767881142906525e-04,3.734767876187440150e-04,3.734767876163080295e-04,3.734768448377371220e-04,3.734767881142906525e-04,4.155666061806546343e-04,7.259084007221310855e-04,8.964924873928243774e-04
3.832520391833273686e-04,3.832520357090786478e-04,3.832520358812652400e-04,3.832520307844351098e-04,3.832520363661199637e-04,3.832520357090786478e-04,4.264434926480858827e-04,7.449080659386795016e-04,9.199569610575862545e-04
3.932831408301127305e-04,3.932831375047014409e-04,3.932831368658624700e-04,3.932831373423101274e-04,3.932831002399258657e-04,3.932831375047014409e-04,4.376050771326031835e-04,7.644050215559873660e-04,9.440355832074690499e-04
4.035767929396764301e-04,4.035767891400922477e-04,4.035767898366068168e-04,4.035767881860321746e-04,4.035767876824911723e-04,4.035767891400922477e-04,4.490587953221353615e-04,7.844122873596713879e-04,9.687444392888118223e-04
4.141398674138217599e-04,4.141398634888181544e-04,4.141398633315303431e-04,4.141398638458949357e-04,4.141398649127742680e-04,4.141398634888181544e-04,4.608122993499592143e-04,8.049432121828523643e-04,9.941000078094851949e-04
4.249794160170506404e-04,4.249794113086742650e-04,4.249794107898897597e-04,4.249794115433371401e-04,4.249794086084407820e-04,4.249794113086742650e-04,4.728734347899079182e-04,8.260115072146092651e-04,1.020119228857230363e-03
4.361026750842237178e-04,4.361026697295466211e-04,4.361026700618632064e-04,4.361026698909618816e-04,4.361026901146140074e-04,4.361026697295466211e-04,4.852502542059502935e-04,8.476312363349543764e-04,1.046819465785755066e-03
4.475170703514392786e-04,4.475170660588813788e-04,4.475170620895204602e-04,4.475170640742013803e-04,4.475170680435611062e-04,4.475170660588813788e-04,4.979510214604041494e-04,8.698168325892985386e-04,1.074218541479878778e-03
4.592302219133531779e-04,4.592302160731422675e-04,4.592302161647291618e-04,4.592302180072014629e-04,4.592302412158999893e-04,4.592302160731422675e-04,5.109842122867253337e-04,8.925831053835426741e-04,1.102334756642834711e-03
4.712499493102506620e-04,4.712499430312444299e-04,4.712499426281307438e-04,4.712499426281313943e-04,4.712499350892154510e-04,4.712499430312444299e-04,5.243585294111363995e-04,9.159452561554685132e-04,1.131186864523848513e-03
4.835842767482642353e-04,4.835842721121996453e-04,4.835842702755427879e-04,4.835842694957328148e-04,4.835842740807490465e-04,4.835842721121996453e-04,5.380829025931883978e-04,9.399188806097218433e-04,1.160794136487915303e-03
4.962414384562249077e-04,4.962414309140662783e-04,4.962414311417709606e-04,4.962414283889806689e-04,4.962414271359583519e-04,4.962414309140662783e-04,5.521664899508964622e-04,9.645199793992823229e-04,1.191176352696692118e-03
5.092298841827203526e-04,5.092298757816854935e-04,5.092298788687121130e-04,5.092298753369834926e-04,5.092298788687092941e-04,5.092298757816854935e-04,5.666186972296645896e-04,9.897649804544144531e-04,1.222353780009340996e-03
5.225582848370327648e-04,5.225582762840534764e-04,5.225582759451781727e-04,5.225582722236669008e-04,5.225582818069022563e-04,5.225582762840534764e-04,5.814491720523360784e-04,1.015670734190751148e-03,1.254347233055025639e-03
5.362355382777187623e-04,5.362355282889625209e-04,5.362355282889624125e-04,5.362355286599344373e-04,5.362355233199725662e-04,5.362355282889625209e-04,5.966678143928024879e-04,1.042254534332255145e-03,1.287178068319042631e-03
5.502707752526992237e-04,5.502707645524355234e-04,5.502707648868159418e-04,5.502707645903037780e-04,5.502707584305192899e-04,5.502707645524355234e-04,6.122847823891709685e-04,1.069534131365580112e-03,1.320868210176124550e-03
5.646733654948213853e-04,5.646733537274144579e-04,5.646733537274141327e-04,5.646733545156978505e-04,5.646733576395994870e-04,5.646733537274144579e-04,6.283105020114102858e-04,1.097527735009320169e-03,1.355440133582246466e-03
5.794529239769654087e-04,5.794529112536277258e-04,5.794529124032184566e-04,5.794529131696103978e-04,5.794528809810672258e-04,5.794529112536277258e-04,6.447556794054199467e-04,1.126254032821223314e-03,1.390916936763849938e-03
5.946193173308688372e-04,5.946193058718600736e-04,5.946193051250134786e-04,5.946193038617541247e-04,5.946192931754548400e-04,5.946193058718600736e-04,6.616312820800671849e-04,1.155732202688193946e-03,1.427322293402670831e-03
6.101826704339553343e-04,6.101826563199823231e-04,6.101826558280364294e-04,6.101826559840666745e-04,6.101826732951703969e-04,6.101826563199823231e-04,6.789485810076371485e-04,1.185981923787941990e-03,1.464680516043220847e-03
6.261533731685651203e-04,6.261533579179934814e-04,6.261533578036568813e-04,6.261533565287000702e-04,6.261533547372353072e-04,6.261533579179934814e-04,6.967191371384908252e-04,1.217023389072480633e-03,1.503016547331220091e-03
6.425420873580985808e-04,6.425420702147275481e-04,6.425420709058707628e-04,6.425420706611805356e-04,6.425420169966326867e-04,6.425420702147275481e-04,7.149548126917274577e-04,1.248877322817887022e-03,1.542355974254016248e-03
6.593597538847041075e-04,6.593597345109438075e-04,6.593597362017845258e-04,6.593597356714509363e-04,6.593597364774544207e-04,6.593597345109438075e-04,7.336677828700546118e-04,1.281564989890321415e-03,1.582725036870285575e-03
6.766175999932619051e-04,6.766175786504862680e-04,6.766175805332284941e-04,6.766175784043619666e-04,6.766175711846495085e-04,6.766175786504862680e-04,7.528705394696733532e-04,1.315108212351891225e-03,1.624150710980465893e-03
6.943271467865400710e-04,6.943271259749991039e-04,6.943271259749999712e-04,6.943271257029343980e-04,6.943271236194089886e-04,6.943271259749991039e-04,7.725759031549414135e-04,1.349529381261628958e-03,1.666660656076597276e-03
7.125002169165248070e-04,7.125001944241262384e-04,7.125001954519755935e-04,7.125001938678487750e-04,7.125001730137926629e-04,7.125001944241262384e-04,7.927970266382048043e-04,1.384851480471919506e-03,1.710283236791097306e-03
7.311489424770623632e-04,7.311489174486203706e-04,7.311489186633969139e-04,7.311489183878089847e-04,7.311489154311895519e-04,7.311489174486203706e-04,8.135474106483546984e-04,1.421098087889620474e-03,1.755047579241184562e-03
7.502857731030796590e-04,7.502857465656643816e-04,7.502857476486008564e-04,7.502857476486010733e-04,7.502857571189017021e-04,7.502857465656643816e-04,8.348409074601779610e-04,1.458293399124770606e-03,1.800983563952520241e-03
