t,H32_M4,H16_M4,H32_M9,H16_M9,H32_M16,H16_M16,H32_ctrl,H16_ctrl
9.9,0.38543073,0.31871944,0.28723764,0.19882825,0.07598502,0.035710893,0.02729893,0.0062943511
10,0.38058484,0.31473765,0.28563396,0.20281113,0.081310767,0.03850164,0.02700456,0.0068269295
10.1,0.38627509,0.31471145,0.29461117,0.20418653,0.077342178,0.039622677,0.02709406,0.0066072579
10.2,0.38352525,0.31172685,0.28321966,0.19514294,0.079129822,0.035627909,0.026744523,0.006217351
10.3,0.37630035,0.30226309,0.27699081,0.18873265,0.075607407,0.034776894,0.025544054,0.0062170382
10.4,0.3802867,0.30687413,0.26288838,0.18046991,0.072801962,0.037552446,0.026283184,0.0059474337
10.5,0.37985303,0.31321257,0.26260785,0.18098284,0.07266811,0.035608191,0.026643389,0.0058933003
10.6,0.37241085,0.31049392,0.25445723,0.17505089,0.070153813,0.032621465,0.026829069,0.0065093301
10.7,0.36648725,0.30410101,0.24894456,0.1664157,0.064364178,0.032724291,0.028161719,0.0068050698
10.8,0.36114985,0.30179797,0.23862705,0.15756198,0.065410617,0.032205873,0.027191548,0.0065873788
10.9,0.35858687,0.29291594,0.23940206,0.16261842,0.065430992,0.027156686,0.024091811,0.0067776137
11,0.35450882,0.28113836,0.23581181,0.15945486,0.061695303,0.028687025,0.025895737,0.0061250065
11.1,0.35589089,0.27618345,0.23488985,0.15908317,0.058494457,0.027384556,0.025756926,0.0060373508
11.2,0.3529968,0.27382305,0.22372021,0.15799163,0.057250806,0.027319358,0.025765324,0.0072909909
11.3,0.35170053,0.27056532,0.21728631,0.15331015,0.058543687,0.025606805,0.026949398,0.0068708221
11.4,0.35420328,0.26829492,0.21968506,0.15465188,0.056929251,0.025718736,0.025422235,0.0065660754
11.5,0.34972486,0.26869489,0.22773047,0.15404408,0.053255348,0.021605154,0.025163303,0.0066901158
11.6,0.35200694,0.27289869,0.23134686,0.15553495,0.055374024,0.022703932,0.025641826,0.0063194191
11.7,0.35598487,0.28229918,0.23960944,0.16499078,0.056255605,0.023379857,0.025911056,0.0069165982
11.8,0.35846283,0.28509899,0.23680588,0.16463296,0.051233117,0.022173446,0.024713947,0.006462753
11.9,0.36263673,0.29372107,0.23345522,0.16105274,0.049830103,0.021869366,0.025888281,0.0055453671
12,0.36601569,0.30323727,0.22889849,0.16775167,0.050846359,0.02128757,0.027478542,0.0068859491
12.1,0.36493046,0.300541,0.22448793,0.15485557,0.049343585,0.021371893,0.028035123,0.0071278526
12.2,0.36612084,0.30255872,0.22312479,0.14790707,0.050770675,0.018466048,0.025799752,0.0061787189
12.3,0.36771533,0.2978332,0.21374422,0.15282707,0.048916868,0.018380568,0.026156516,0.0067260576
12.4,0.36719282,0.29133262,0.20635021,0.15041147,0.049355441,0.019242309,0.026088984,0.0068179236
12.5,0.36703121,0.28933156,0.21654732,0.14881616,0.045924915,0.019443001,0.023904228,0.006523883
12.566371,0.37698652,0.30258505,0.21683384,0.14822025,0.045730146,0.017773349,0.024865306,0.0071737179
